feature_index,importance
85,0.014328532
357,0.011197447
336,0.01058252
86,0.010309046
356,0.009733024
337,0.008571904
84,0.008048846
225,0.007844372
124,0.007455051
236,0.0073585715
144,0.00730691
354,0.0068906
143,0.0066076797
205,0.006524488
323,0.0064256825
165,0.0063620163
123,0.0062473956
355,0.006227225
185,0.0061341943
66,0.0060068048
216,0.0060031796
88,0.005665159
105,0.005625671
163,0.0054117194
245,0.0054026647
164,0.0053831916
104,0.0052960278
256,0.0052454444
96,0.0052404716
65,0.0050987927
94,0.005094925
194,0.0049504153
125,0.0048634503
346,0.004778533
248,0.004521197
116,0.004450668
343,0.004372929
89,0.004367983
103,0.004313743
217,0.0042010713
70,0.0041843196
283,0.0041436665
127,0.0041361162
230,0.004083068
226,0.0040435093
183,0.004043245
345,0.0040041674
263,0.0039997753
114,0.003916802
228,0.003912611
316,0.003908948
75,0.0038804202
348,0.003855225
196,0.0038009665
64,0.0037977195
303,0.0037895797
353,0.003781169
247,0.0037769305
134,0.0037692364
174,0.003760884
73,0.0037551082
195,0.0037236644
237,0.0037161768
203,0.0036880516
317,0.0036424648
146,0.0036399867
243,0.0035695874
136,0.0035489812
93,0.0035420856
72,0.003526458
335,0.0034882626
154,0.0034131943
276,0.0034094425
197,0.0033819526
229,0.0033768327
92,0.0033683479
145,0.0033458048
347,0.003325106
69,0.0033174353
215,0.0032888092
147,0.0032624803
233,0.0032121444
87,0.003210226
209,0.0031943861
176,0.003173103
177,0.0031430824
223,0.0031350534
95,0.0031094346
156,0.0030890072
252,0.0030505892
246,0.0030449934
296,0.003017022
91,0.0028886108
307,0.002887938
244,0.002866617
115,0.002852479
128,0.0028111415
184,0.0028057098
97,0.0028043836
224,0.0027198615
326,0.0027160433
235,0.002712692
67,0.0027073019
231,0.0027071615
157,0.002706556
193,0.0026725614
290,0.0026702245
227,0.0026507785
325,0.0026431729
275,0.0026392066
68,0.0026075707
344,0.0025946896
207,0.0025903557
166,0.002577091
175,0.0025770406
108,0.002570554
254,0.0025348
152,0.0025263866
264,0.0024985946
257,0.0024967822
232,0.0024789788
306,0.0024689368
71,0.002456373
249,0.002449011
135,0.0024224932
117,0.002413609
265,0.0024049936
309,0.002404014
310,0.002396991
295,0.0023873383
188,0.0023743524
331,0.0023627146
187,0.002352643
210,0.0023389135
285,0.002329613
137,0.0023286405
133,0.0023254543
284,0.0023219362
206,0.0023145669
168,0.0023130882
350,0.0023027386
74,0.0022994487
328,0.002280254
107,0.0022773587
153,0.002263288
208,0.0022576784
352,0.0022400827
192,0.0022379349
106,0.0022143228
324,0.0022091628
333,0.002208222
76,0.0022023027
270,0.0022020712
288,0.002178917
266,0.002177779
375,0.0021567815
172,0.0021554604
126,0.0021453837
131,0.0021378214
132,0.0021211826
297,0.0021174494
305,0.0021129223
304,0.0021118647
332,0.002105923
308,0.0021006889
113,0.002097763
289,0.0020886166
150,0.0020825402
315,0.002078974
273,0.0020771893
268,0.0020756638
287,0.0020648902
277,0.0020572296
253,0.0020532287
204,0.0020487825
334,0.0020475183
213,0.002038299
351,0.002029275
376,0.0020199702
234,0.0020193693
167,0.0020139923
313,0.0020075408
214,0.0020071764
329,0.002001122
330,0.0019965738
251,0.0019874442
90,0.001987158
274,0.0019867355
173,0.0019832843
186,0.001978585
286,0.001976866
190,0.0019715116
155,0.0019533415
189,0.0019516504
327,0.0019482614
